,initial_partition_approach,number_of_communities,initial modularity,modularity after fine-tuning and binary assigned,modularity after fine-tuning,COMBO modularity_not_restricted,COMBO modularity
celeganmetabolic_453.mat,LPA,74,0.212995,0.11916756,0.003784396918490529,0.4514651083433376,0.48643226852002347
celegansneural_297.mat,LPA,3,0.012340438,0.005875965,0.007681630551815033,0.507641752830326,0.48149634105085876
copperfield_112.mat,Louvain,7,0.30550864,0.27472663,0.11373002827167511,0.2985079584775124,0.2985079584775124
email_1133.mat,Louvain,11,0.57362545,0.5164249,0.3316742479801178,0.5828014941810017,0.5827510119087104
jazz_198.mat,LPA,10,0.25300336,0.28200358,0.22722050547599792,0.4444447104526879,0.452854509711654
karate_34.mat,Louvain,4,0.41978958,0.35963184,0.27369993925094604,0.41978961209730403,0.41978961209730403
lesmis_77.mat,Louvain,6,0.5471434,0.5485383,0.3844865560531616,0.566687983343249,0.566687983343249
polbooks_105.mat,Louvain,5,0.52696663,0.45419863,0.44487637281417847,0.5272365938060765,0.5272365938060765
USAir97_332.mat,LPA,54,0.063172735,0.032170344,0.0025632092729210854,0.2147356510856881,0.7552637191058766
USairports_1858.mat,LPA,408,0.18115743,0.14360791,0.0026737817097455263,0.2755243410438753,0.2755202783235524
